ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt
0.0137,0.0002,0.0002,0.0587,-0.0924,-0.6033,0.0136,0.0002,0.0002,0.0611,0.2943,-0.3243,9.8029,0.0004,96.0967,0.0874,-0.2282,-0.5331,0.0387,0.0014,0.0015,0.1679,0.1078,0.0291,0.0541,0.0027,0.0029,0.2137,-0.0013,-0.8588,0.0448,0.0017,0.0020,0.2137,-0.2213,0.3992,-0.0581,0.0291,-0.1097,-0.0387,0.0827,0.0058,188.9130,17880.5566,35688.1250,291.0000,0.0122,-1.9838
0.0481,0.0023,0.0023,0.4800,-0.1271,12.6385,0.0211,0.0004,0.0004,0.1520,2.1302,9.5649,9.8318,0.0444,96.6634,2.0458,0.8928,17.3979,0.2172,0.0461,0.0472,2.0000,-2.5680,14.1522,0.6360,0.3866,0.4045,4.2290,-4.3476,18.2121,0.0694,0.0043,0.0048,0.3511,-0.6894,0.5600,-0.0899,-0.2060,-0.2075,0.9247,0.4863,0.5204,267.9851,142.0316,71816.0313,48.0000,-0.2462,-0.7653
0.0363,0.0013,0.0013,0.2586,-0.1042,1.8671,0.0297,0.0009,0.0009,0.1616,-0.2082,1.1000,9.8134,0.0126,96.3037,0.8607,-0.4675,2.8345,0.1202,0.0143,0.0145,0.7328,0.8303,3.4116,0.3038,0.0917,0.0923,2.1069,1.0679,5.2381,0.1128,0.0126,0.0127,0.7176,-0.2518,2.6973,-0.1361,0.5214,-0.0429,0.8085,-0.2626,-0.0001,268.0788,146.7170,71866.2344,52.0000,-0.2936,-0.6532
0.0305,0.0009,0.0009,0.2741,0.1106,9.5132,0.0177,0.0003,0.0003,0.0970,-0.0013,0.5816,9.7972,0.0063,95.9849,0.7242,3.7481,27.3354,0.0946,0.0077,0.0089,0.7023,-1.7496,11.0804,0.2147,0.0460,0.0461,1.5725,-1.3906,6.2711,0.0543,0.0024,0.0030,0.2137,-0.0227,-0.4984,-0.0719,0.7358,-0.1393,0.7346,-0.0695,-0.2761,264.7189,136.9984,70076.0938,48.0000,0.1715,-0.6236
0.0288,0.0008,0.0008,0.2490,-1.7613,8.4014,0.0133,0.0002,0.0002,0.0718,0.1210,0.2442,9.7989,0.0057,96.0178,0.9972,1.4330,19.7820,0.0958,0.0082,0.0092,0.7939,0.6917,4.1285,0.1797,0.0315,0.0323,1.9542,0.4865,10.8218,0.0453,0.0020,0.0021,0.1985,-0.0940,-0.7169,0.0411,0.5759,0.2287,0.7013,0.0259,-0.1869,264.1488,139.2818,69774.5781,51.0000,0.1297,-0.6519
0.0723,0.0051,0.0052,0.4800,1.9271,9.2302,0.0549,0.0030,0.0030,0.3879,-0.2762,6.8992,9.7970,0.0182,95.9821,0.9649,0.4617,6.9914,0.1107,0.0122,0.0122,0.6870,0.9151,2.5756,0.4802,0.2301,0.2306,3.7863,2.4320,11.7682,0.3051,0.0897,0.0931,2.1679,-1.1282,5.7373,-0.3706,0.7500,-0.1559,0.6698,-0.0944,0.5503,268.6134,138.7390,72153.1484,48.0000,0.0564,-0.8525
0.0198,0.0004,0.0004,0.0982,0.4784,0.0507,0.0447,0.0020,0.0020,0.2861,-1.4021,4.3401,9.8041,0.0007,96.1204,0.1365,0.5047,0.5449,0.0484,0.0023,0.0023,0.2443,0.6287,0.6485,0.0887,0.0079,0.0079,0.6870,-0.6944,2.5769,0.0840,0.0068,0.0071,0.5649,-1.9017,7.3690,-0.3842,0.4645,-0.3346,-0.0707,-0.2397,0.2176,267.8542,141.4919,71745.8984,53.0000,-0.0971,-0.8381
0.0710,0.0049,0.0050,0.4920,-4.1907,18.7305,0.0722,0.0052,0.0052,0.4549,1.8517,7.4330,9.7755,0.0277,95.5600,1.1325,-4.5893,20.8058,0.1137,0.0120,0.0129,0.7328,2.5744,7.5671,0.3501,0.1138,0.1226,3.0382,4.4115,23.2541,0.1613,0.0255,0.0260,1.2366,3.5277,14.3791,-0.7069,0.9024,-0.7574,0.8532,0.7106,0.8373,264.1498,145.1194,69775.1328,50.0000,0.1397,-0.9355
0.0120,0.0001,0.0001,0.0742,-0.5558,1.1763,0.0120,0.0001,0.0001,0.0718,-0.3048,0.9049,9.8106,0.0005,96.2486,0.1245,-0.1435,-0.2210,0.0482,0.0023,0.0023,0.2137,-0.4387,0.3177,0.0755,0.0057,0.0057,0.5802,1.0597,5.6101,0.0511,0.0024,0.0026,0.2137,0.5265,-0.0783,0.2550,0.1922,-0.0873,0.0761,-0.0259,0.0294,264.9306,137.9911,70188.2031,51.0000,0.1237,-0.9093
0.0099,0.0001,0.0001,0.0479,0.0476,-0.2145,0.0101,0.0001,0.0001,0.0527,-0.0639,0.4039,9.8114,0.0004,96.2635,0.0862,0.2759,-0.0696,0.0438,0.0019,0.0019,0.2290,0.0505,0.4088,0.0543,0.0029,0.0029,0.2901,-0.2611,0.5985,0.0481,0.0022,0.0023,0.2137,0.3170,0.0766,0.0340,-0.0231,0.1470,0.2331,-0.0771,-0.1721,268.0638,144.0530,71858.2188,49.0000,-0.1880,-0.7833
