subject_id,session_id,date,time,timestamp,session_duration,window_sequence_num,experiment_condition,ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ax_mean,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,ay_mean,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,az_mean,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gx_mean,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gy_mean,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,gz_mean,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt,ppg_mean,ppg_B0_frac,ppg_B1_frac,ppg_B2_frac,acc_L_frac,acc_M_frac,gyro_L_frac,gyro_M_frac,awake
S02,SES03,2025-11-12,16:06:50,1762988810.8519685,10.932022094726562,0,normal,1.551274,0.720741,2.406450,5.272032,-1.549169,4.407050,1.298349,4.467714,3.821183,19.960470,26.008213,1.253351,14.335993,-4.017373,9.248459,2.727719,85.533989,12.786234,-4.434782,22.288179,9.099795,25.889410,485.750854,670.261597,146.045807,-0.970023,2.796531,-13.583473,16.220783,263.050293,263.113831,112.503815,1.074888,5.408220,0.252080,14.507452,210.458237,210.466171,138.000000,-5.254321,37.858505,-0.089103,-0.312757,0.587060,-0.398510,-0.361900,0.401617,-0.213633,32700.255859,725697152.000000,1069306752.000000,63023.000000,0.912950,-1.111872,18536.710938,0.433722,0.546375,0.013166,0.240503,0.452126,0.713522,0.221943,1
S02,SES03,2025-11-12,16:06:51,1762988811.0345354,11.114588975906372,1,normal,1.536754,0.603324,2.361613,5.272032,-1.329921,4.420766,1.326005,4.473670,3.070181,20.013725,26.008213,0.780825,18.768248,-4.116254,9.302540,1.808569,86.537247,12.786234,-5.078706,33.527496,9.204818,25.090214,496.782440,629.518799,146.045807,-1.019667,2.903201,-11.521126,15.571728,242.420624,242.478699,112.503815,0.768690,5.056494,0.240973,14.638703,214.018738,214.291626,138.000000,-5.115689,37.030495,0.522385,-0.158398,0.469436,-0.193185,-0.230424,0.441925,-0.181857,33140.007812,737386688.000000,1098260096.000000,63023.000000,0.873640,-1.183688,18996.667969,0.455440,0.525023,0.011525,0.240503,0.452126,0.713522,0.221943,1
S02,SES03,2025-11-12,16:06:58,1762988818.6512012,18.731255054473877,2,normal,1.161464,1.184352,1.349000,5.675455,0.015143,0.342255,0.405768,2.327587,4.699831,5.417663,7.043741,0.570075,-1.284837,-0.847250,9.660753,0.613736,93.330147,4.784812,-1.013025,2.361291,9.628936,38.724674,1497.456665,1499.600342,232.076340,0.489852,0.698834,1.464141,23.807192,566.775085,566.782410,117.755722,-1.098394,0.979824,-0.085611,26.890545,587.322510,723.101440,117.007629,-0.415000,0.037718,-11.652424,-0.469405,0.078142,-0.389365,0.024878,-0.397286,-0.379216,18895.375000,316942432.000000,357035232.000000,63018.000000,2.762055,5.699579,6331.887695,0.527536,0.368000,0.075371,0.162246,0.563396,0.784812,0.211519,1
S02,SES03,2025-11-12,16:07:03,1762988823.7918198,23.87187361717224,3,normal,1.047197,1.096419,1.096621,5.689820,-1.119569,1.833882,0.014184,2.647378,5.632536,7.008610,11.615470,-0.155535,-0.786115,-1.173062,9.571998,1.392460,91.623146,9.331401,0.323747,2.805720,9.498983,38.862614,1355.631348,1510.302734,214.580154,-0.162333,0.464304,-12.436699,25.676210,647.056335,659.267761,175.847321,0.751067,3.967518,-3.494485,51.315094,1912.994629,2633.238770,228.152664,1.461020,1.979892,26.837366,0.079677,0.040350,-0.065623,0.063178,0.331218,-0.054479,19169.753906,327139296.000000,367479488.000000,65357.000000,2.765049,5.783061,6351.395020,0.207971,0.698814,0.078371,0.204315,0.609587,0.714575,0.256678,1
S02,SES03,2025-11-12,16:07:08,1762988828.8898032,28.96985673904419,4,normal,1.990213,3.370538,3.960946,7.224504,-0.730508,-0.657779,0.768380,1.851220,0.524987,3.427016,3.013103,-0.285899,-0.357063,-1.703534,9.882005,1.865902,97.654022,9.428366,1.307087,4.964177,9.787141,21.335365,260.772552,455.197784,132.641220,0.165824,4.730536,-13.943645,31.952881,945.398865,1020.986633,196.931305,1.501045,3.828842,8.694122,10.540922,74.018745,111.111031,50.183205,-0.531033,0.946415,6.090343,0.796332,0.107179,0.293255,-0.150650,0.029220,0.318084,47044.871094,992151296.000000,2213219840.000000,65357.000000,-0.169104,-1.947100,34943.789062,0.633929,0.340197,0.023067,0.419212,0.546764,0.714242,0.224041,1
S02,SES03,2025-11-12,16:07:14,1762988834.040309,34.120362281799316,5,normal,1.819196,2.803517,3.309472,10.240001,-0.796185,0.708988,0.711305,2.721545,2.534188,7.406810,5.596447,-0.508028,-1.422825,-2.207402,9.714849,2.232517,94.378304,13.354856,0.432208,6.046159,9.599260,18.325520,301.599915,335.824646,127.221375,0.252950,4.093799,-5.850191,31.066519,941.535095,965.128601,217.511444,0.761357,4.996354,-4.857309,7.039557,37.189934,49.555359,51.007637,-1.832558,9.088226,3.516450,0.905522,0.478318,0.506950,-0.524202,-0.468022,0.097620,64558.457031,130201.578125,4167794176.000000,1389.000000,-0.205056,-1.125132,64557.449219,0.550112,0.381124,0.056205,0.630177,0.361066,0.665425,0.395562,1
S02,SES03,2025-11-12,16:07:19,1762988839.181198,39.26125144958496,6,normal,0.669711,0.407932,0.448513,3.390190,-0.944683,0.918185,0.201448,1.522577,0.150390,2.318241,2.092532,0.120207,-0.024692,-1.472362,9.863130,0.063847,97.281334,1.382652,0.712724,1.393279,9.859893,12.956245,38.090900,167.864304,36.748093,-0.494539,2.696194,-11.391813,12.786075,146.313416,163.483704,66.152672,-0.252339,1.996610,-4.143703,6.299606,26.130550,39.685032,27.679390,-0.673936,0.680320,3.681641,-0.488872,-0.226941,-0.125156,0.385572,-0.325123,0.393422,64899.128906,391725.687500,4211896832.000000,2567.000000,-1.244226,0.848732,64896.109375,0.689430,0.278466,0.022970,0.160464,0.723235,0.478443,0.533657,1
S02,SES03,2025-11-12,16:07:24,1762988844.3219213,44.40197491645813,7,normal,0.414548,0.018891,0.171850,0.632069,0.445676,-0.092589,0.391100,2.221174,0.081187,4.933614,1.386243,0.340427,-0.224107,-2.202823,9.822853,0.007800,96.488449,0.436941,0.161390,-0.608235,9.822456,11.007140,12.285824,121.157127,14.961832,-0.122302,-0.366303,-10.434141,3.932988,14.347623,15.468392,16.824429,0.603942,0.147829,-1.058664,6.281160,15.863780,39.452969,20.335876,0.189318,0.731076,4.856870,0.567477,-0.253571,0.109640,-0.547474,-0.587952,0.612753,65234.527344,3052.604980,4255543808.000000,251.000000,-0.512663,-0.389559,65234.503906,0.156089,0.409488,0.194210,0.097303,0.704946,0.503571,0.429400,1
S02,SES03,2025-11-12,16:07:29,1762988849.462846,49.54289960861206,8,normal,0.348330,0.026598,0.121334,1.616086,2.052207,15.590382,0.307793,1.802418,0.058842,3.248711,1.813608,0.929174,4.094244,-1.786021,9.855845,0.044925,97.137688,2.746150,0.451743,24.907646,9.853566,10.350219,7.573105,107.127037,16.458015,-0.460610,1.784175,-9.977672,2.645506,6.131064,6.998700,19.374046,-0.210925,2.775218,-0.931469,5.466912,4.997692,29.887127,11.984733,-0.336874,0.634699,4.988931,0.593249,0.427578,0.612796,-0.554818,-0.563805,0.554786,65021.621094,18592.234375,4227811328.000000,610.000000,-0.630771,-0.109355,65021.480469,0.190420,0.338136,0.285667,0.076129,0.669486,0.504165,0.666959,1
S02,SES03,2025-11-12,16:07:34,1762988854.604078,54.68413162231445,9,normal,0.163263,0.004977,0.026655,0.371101,-0.241220,-0.346143,0.147233,1.373004,0.027522,1.885139,0.752976,-0.571947,-0.373251,-1.362944,9.865412,0.001960,97.326355,0.254983,0.107672,0.937019,9.865313,9.412625,4.827160,88.597511,8.763359,0.741433,-0.350556,-9.152615,1.182167,1.321031,1.397519,6.183206,0.541037,1.077980,-0.276565,5.564992,3.435492,30.969143,7.893130,-0.086119,-0.436736,5.247252,-0.198582,-0.056777,0.226458,-0.183099,-0.747656,0.427696,64524.683594,26168.994141,4163435008.000000,712.000000,-0.148325,-0.693477,64524.484375,0.080281,0.661555,0.151992,0.254310,0.582840,0.928730,0.100463,1
