subject_id,session_id,date,time,timestamp,session_duration,window_sequence_num,experiment_condition,ax_rms,ax_var,ax_energy,ax_ptp,ax_skew,ax_kurt,ax_mean,ay_rms,ay_var,ay_energy,ay_ptp,ay_skew,ay_kurt,ay_mean,az_rms,az_var,az_energy,az_ptp,az_skew,az_kurt,az_mean,gx_rms,gx_var,gx_energy,gx_ptp,gx_skew,gx_kurt,gx_mean,gy_rms,gy_var,gy_energy,gy_ptp,gy_skew,gy_kurt,gy_mean,gz_rms,gz_var,gz_energy,gz_ptp,gz_skew,gz_kurt,gz_mean,xcorr_ax_ay,xcorr_ax_az,xcorr_ay_az,xcorr_gx_gy,xcorr_gx_gz,xcorr_gy_gz,ppg_rms,ppg_var,ppg_energy,ppg_ptp,ppg_skew,ppg_kurt,ppg_mean,ppg_B0_frac,ppg_B1_frac,ppg_B2_frac,acc_L_frac,acc_M_frac,gyro_L_frac,gyro_M_frac,awake
S01,SES01,2025-10-13,08:02:23,1760367743.374158,9.714077711105347,0,normal,0.419091,0.033989,0.175637,0.629675,0.062464,-1.219554,-0.376363,0.712428,0.024153,0.507554,0.555455,-0.650489,-0.903529,-0.695270,9.386135,0.029140,88.099525,0.673967,-1.275118,0.755115,9.384583,4.057766,9.484573,16.465464,12.396946,-0.080293,-0.698299,-2.642138,4.883588,3.688306,23.849434,8.244275,-0.929253,0.718481,4.490115,5.611968,27.151089,31.494179,14.824428,-0.238602,-1.520079,2.084008,-0.918314,-0.191578,0.311150,-0.144995,-0.795169,0.131570,60111.863281,7775.899902,3613436160.000000,314.000000,-0.300895,-0.916979,60111.800781,0.004551,0.967495,0.041425,0.941312,0.053960,0.917716,0.080153,1
S01,SES01,2025-10-13,08:02:26,1760367746.3498938,12.68981385231018,1,normal,0.704977,0.133827,0.496993,1.145625,-0.028431,-1.536732,0.602633,0.799120,0.005067,0.638593,0.325611,0.760759,0.887906,0.795943,10.106697,0.041304,102.145325,0.645238,-0.779927,-0.828521,10.104653,8.239107,54.795052,67.882881,20.595421,-0.450987,-1.436496,3.617710,8.408815,69.113174,70.708183,25.633587,-0.549242,-1.011182,-1.262939,3.769559,6.416531,14.209579,12.671756,1.762505,3.406754,-2.791603,-0.871519,-0.810639,0.702136,0.911810,-0.293180,-0.430907,60090.027344,7501.423828,3610811392.000000,316.000000,-0.127094,-1.005869,60089.964844,0.152504,0.708068,0.073036,0.864100,0.135651,0.962868,0.029913,1
S01,SES01,2025-10-13,08:02:26,1760367746.9699743,13.30989384651184,2,normal,0.229084,0.003978,0.052480,0.393846,-0.204347,1.155746,-0.220231,1.725484,0.009395,2.977297,0.472855,0.812172,0.848693,1.722760,9.737431,0.024189,94.817558,0.723049,0.353986,0.085917,9.736189,3.549515,9.285688,12.599061,9.435115,-0.015244,-1.300376,1.820267,4.047993,11.901232,16.386250,11.465649,0.098630,-1.160542,2.117786,3.035952,9.066479,9.217006,9.755726,0.108534,-1.117674,-0.387977,-0.508863,0.142953,-0.503285,0.903275,0.557658,0.278378,60068.351562,6118.029785,3608206848.000000,271.000000,-0.188044,-1.226265,60068.300781,0.017777,0.795352,0.103763,0.680033,0.315624,0.937718,0.056093,1
S01,SES01,2025-10-13,08:02:27,1760367747.2438817,13.58380126953125,3,normal,0.236539,0.005058,0.055951,0.393846,-0.349241,0.398427,-0.225594,1.814503,0.028882,3.292421,0.571017,0.596960,-0.945519,1.806527,9.818119,0.067354,96.395470,1.113304,0.945339,0.245566,9.814689,3.574522,8.812549,12.777207,9.435115,-0.137784,-1.219440,1.991145,4.340449,18.764732,18.839500,15.893129,0.028364,-0.978207,0.273435,3.635018,11.307478,13.213353,11.557252,-0.271829,-1.076480,1.380534,-0.545445,-0.232039,0.488315,0.538573,0.531190,-0.253297,60067.351562,6087.609863,3608086528.000000,271.000000,-0.153212,-1.218257,60067.300781,0.014998,0.789177,0.118493,0.855961,0.140077,0.946196,0.074560,1
S01,SES01,2025-10-13,08:02:29,1760367749.5160038,15.855923414230347,4,normal,0.395064,0.136412,0.156076,2.286463,0.388614,1.928794,0.140228,2.308136,0.474162,5.327493,4.165911,-0.423487,1.805068,2.203028,10.156933,0.248421,103.163284,2.791639,1.355334,3.239091,10.144696,6.040828,34.996029,36.491608,27.114502,0.391825,-0.618281,1.222939,6.672153,37.584255,44.517628,31.053436,0.371843,0.314239,2.633130,13.330585,148.563461,177.704498,65.755722,1.832570,4.181647,5.398244,-0.709802,-0.377099,0.521810,0.130773,0.095908,0.706954,60106.128906,8293.646484,3612746752.000000,460.000000,0.588503,0.962456,60106.058594,0.302934,0.567125,0.072521,0.510368,0.487926,0.677739,0.271659,1
S01,SES01,2025-10-13,08:02:32,1760367752.1404526,18.480372190475464,5,normal,0.792835,0.599448,0.628587,2.935291,0.479990,-0.840476,0.170704,0.865287,0.671658,0.748722,3.767276,0.532797,0.386430,-0.277605,9.684087,0.277539,93.781540,2.367866,0.190428,-0.453328,9.669746,12.423368,152.787308,154.340088,54.854965,-0.552892,-0.033031,1.246107,9.136113,83.380447,83.468559,42.015266,-0.542535,0.062677,0.296832,16.751425,238.454987,280.610260,64.946564,-0.753328,0.233981,-6.492710,-0.674591,-0.303322,0.383013,0.330724,0.582080,0.401507,60356.523437,6004.479492,3642909952.000000,270.000000,-0.049366,-1.269020,60356.476562,0.025372,0.814432,0.059694,0.633006,0.552630,0.618243,0.445509,1
S01,SES01,2025-10-13,08:02:34,1760367754.7170248,21.056944370269775,6,normal,0.565525,0.067032,0.319819,1.027113,-0.314247,-0.736925,0.502779,1.208022,0.133653,1.459317,1.513135,0.367062,-0.063211,1.151375,10.108383,0.028386,102.179405,0.873884,0.710041,0.218912,10.106978,5.265960,20.706615,27.730330,26.030533,0.173914,0.523175,2.650229,6.158661,33.681419,37.929108,28.595421,0.276818,0.065898,2.060992,5.444045,29.022896,29.637625,22.274809,0.261490,-0.318132,-0.784046,-0.708956,0.113512,-0.088926,0.267375,-0.192402,0.297185,60334.382812,6239.431152,3640237568.000000,328.000000,-0.222763,-0.625876,60334.328125,0.027384,0.862053,0.076482,0.293541,0.575172,0.618900,0.367832,1
S01,SES01,2025-10-13,08:02:37,1760367757.3409276,23.68084692955017,7,normal,0.511066,0.089073,0.261188,1.416170,1.102290,1.777206,0.414867,1.453983,0.084971,2.114067,1.325191,0.504876,-0.172752,1.424463,10.058698,0.118900,101.177406,1.473631,0.191426,-0.460437,10.052786,5.446469,29.394659,29.664028,25.435114,0.141926,-0.427654,0.519008,5.610283,31.435120,31.475273,21.603054,-0.223926,-0.915748,0.200382,6.148529,37.612019,37.804409,32.351143,-0.957601,1.552052,-0.438626,-0.366687,-0.140461,0.520609,0.224330,0.014528,0.683477,60112.058594,2846.713867,3613459712.000000,241.000000,-0.527015,-0.148763,60112.035156,0.019049,0.676395,0.213030,0.340067,0.584098,0.370819,0.469799,1
S01,SES01,2025-10-13,08:02:39,1760367759.9164002,26.256319284439087,8,normal,0.542159,0.162695,0.293936,2.050634,0.368528,0.600936,-0.362273,1.487419,0.399783,2.212416,2.519897,0.381746,-0.324776,1.346340,10.067495,0.844689,101.354462,4.124012,1.484656,1.984839,10.025456,14.393646,183.880600,207.177063,67.404579,0.683596,1.311049,4.826641,8.523222,70.284988,72.645309,39.389313,-0.373735,0.165894,-1.536336,13.218370,167.569077,174.725311,78.305344,0.634837,4.114894,-2.675115,-0.091809,0.132392,0.695999,0.455173,0.446429,0.546993,60216.437500,13560.759766,3626019328.000000,416.000000,-0.113159,-1.301867,60216.324219,0.626455,0.290610,0.037753,0.663717,0.412933,0.503247,0.454589,1
S01,SES01,2025-10-13,08:02:42,1760367762.5022476,28.842167377471924,9,normal,0.530968,0.251548,0.281927,2.237381,0.544375,0.002098,-0.174295,1.776093,0.160005,3.154508,2.088941,0.031450,0.373011,1.730463,10.071454,0.181356,101.434189,1.748964,0.678606,-0.318835,10.062447,7.729637,59.382595,59.747280,31.603054,0.024194,-0.623057,0.603893,9.075670,80.052742,82.367790,36.702290,0.155456,-0.529752,1.521527,10.635720,110.561485,113.118553,55.404579,0.314745,0.406248,-1.599084,-0.525852,-0.277049,0.357924,0.342980,0.172139,0.057020,60279.085937,17011.271484,3633568256.000000,939.000000,-2.636491,9.436590,60278.945312,0.077681,0.259618,0.371100,0.248948,0.636488,0.321470,0.553053,1
